,TF-IDF
red,0.0
recycling,0.0
recycle,0.0
recur,0.0
recuperate,0.0
rectify,0.0
rectangle,0.0
recruitment,0.0
recruit,0.0
recreational,0.0
recreation,0.0
recreate,0.0
recovery,0.0
recover,0.0
recount,0.0
recording,0.0
recorder,0.0
recorded,0.0
reasoning,0.0
reasonable,0.0
ram,0.0
rape,0.0
rational,0.0
rating,0.0
rate,0.0
rat,0.0
raspberry,0.0
rash,0.0
rarely,0.0
rare,0.0
rapport,0.0
rapidly,0.0
rapid,0.0
rant,0.0
reason,0.0
range,0.0
rang,0.0
randomly,0.0
random,0.0
rand,0.0
ranch,0.0
ran,0.0
ramen,0.0
rambling,0.0
ramble,0.0
ramadan,0.0
rationality,0.0
rationally,0.0
raw,0.0
ray,0.0
rearrange,0.0
rear,0.0
reappear,0.0
realizing,0.0
realize,0.0
realization,0.0
reality,0.0
realistically,0.0
realistic,0.0
realist,0.0
realised,0.0
realise,0.0
realisation,0.0
real,0.0
reaffirm,0.0
ready,0.0
reading,0.0
readied,0.0
reader,0.0
read,0.0
reaction,0.0
react,0.0
reach,0.0
passive,0.0
paris,0.0
passion,0.0
meet,0.0
memoir,0.0
memo,0.0
membrane,0.0
member,0.0
meltdown,0.0
melon,0.0
melba,0.0
meg,0.0
meetups,0.0
meetup,0.0
meeting,0.0
medium,0.0
meat,0.0
meditation,0.0
meditate,0.0
mediocre,0.0
medicine,0.0
medication,0.0
medical,0.0
medias,0.0
medal,0.0
mechanism,0.0
mechanic,0.0
mech,0.0
memory,0.0
men,0.0
menagerie,0.0
mend,0.0
messiah,0.0
messenger,0.0
message,0.0
mess,0.0
merry,0.0
merit,0.0
meringues,0.0
merge,0.0
merely,0.0
mere,0.0
meow,0.0
menu,0.0
mentorship,0.0
mentor,0.0
mentioned,0.0
mention,0.0
mentally,0.0
mentality,0.0
mental,0.0
menstruation,0.0
menstrual,0.0
meningitis,0.0
menial,0.0
meatball,0.0
measuring,0.0
marinate,0.0
masculine,0.0
matching,0.0
match,0.0
mat,0.0
master,0.0
massively,0.0
massive,0.0
massage,0.0
mass,0.0
masks,0.0
mask,0.0
mash,0.0
mascara,0.0
measure,0.0
martyrdom,0.0
marsala,0.0
marry,0.0
married,0.0
marriage,0.0
marmite,0.0
marking,0.0
marketplace,0.0
market,0.0
marker,0.0
mark,0.0
matchup,0.0
mate,0.0
material,0.0
materialise,0.0
meanwhile,0.0
meantime,0.0
meant,0.0
meaningless,0.0
meaningful,0.0
meaning,0.0
mean,0.0
meal,0.0
meagre,0.0
mcdonald,0.0
mccoy,0.0
mayonnaise,0.0
mayo,0.0
mayhem,0.0
maybe,0.0
maximum,0.0
maximise,0.0
max,0.0
mature,0.0
matter,0.0
matsu,0.0
math,0.0
maternity,0.0
messy,0.0
meter,0.0
methodology,0.0
misunderstand,0.0
mobility,0.0
mobilise,0.0
mobile,0.0
mixture,0.0
mixing,0.0
mixer,0.0
mixed,0.0
mix,0.0
mitigate,0.0
mitch,0.0
misunderstood,0.0
mistrust,0.0
metro,0.0
mistakenly,0.0
mistake,0.0
mist,0.0
mission,0.0
missing,0.0
miss,0.0
miso,0.0
mislead,0.0
misinterpret,0.0
misinformation,0.0
misheard,0.0
mocha,0.0
mock,0.0
mode,0.0
model,0.0
monk,0.0
monitor,0.0
monger,0.0
money,0.0
monetary,0.0
monetarily,0.0
monday,0.0
mon,0.0
momentum,0.0
momentary,0.0
momentarily,0.0
moment,0.0
mole,0.0
mojo,0.0
moisturize,0.0
moisturising,0.0
moisturisers,0.0
moisturiser,0.0
moisturise,0.0
module,0.0
modern,0.0
moderation,0.0
modelling,0.0
misfortune,0.0
misery,0.0
miserable,0.0
million,0.0
mill,0.0
milkshake,0.0
milk,0.0
milestone,0.0
mile,0.0
mildly,0.0
mild,0.0
mike,0.0
migration,0.0
might,0.0
miff,0.0
midwife,0.0
midweek,0.0
midst,0.0
midnight,0.0
middle,0.0
midday,0.0
mid,0.0
microwave,0.0
microsoft,0.0
micro,0.0
miami,0.0
mexican,0.0
millibar,0.0
min,0.0
misdiagnosed,0.0
minced,0.0
miscarriage,0.0
mirror,0.0
mirin,0.0
miranda,0.0
miracle,0.0
minute,0.0
mint,0.0
minstrel,0.0
minor,0.0
minimum,0.0
minimise,0.0
minimal,0.0
miniature,0.0
mini,0.0
mingle,0.0
ming,0.0
mine,0.0
mindset,0.0
mindless,0.0
mindfulness,0.0
mindful,0.0
mind,0.0
mincemeat,0.0
mario,0.0
marinade,0.0
passing,0.0
list,0.0
living,0.0
livid,0.0
liverpool,0.0
livelihood,0.0
little,0.0
literature,0.0
literally,0.0
literal,0.0
listening,0.0
listener,0.0
listen,0.0
liquid,0.0
limb,0.0
lipstick,0.0
lip,0.0
link,0.0
lingering,0.0
linger,0.0
ling,0.0
line,0.0
limp,0.0
limited,0.0
limitation,0.0
limit,0.0
livingstone,0.0
load,0.0
loads,0.0
loaf,0.0
lonely,0.0
loneliness,0.0
london,0.0
logo,0.0
logistics,0.0
logistical,0.0
logically,0.0
logical,0.0
logic,0.0
logbook,0.0
log,0.0
loft,0.0
lodger,0.0
locum,0.0
lockheed,0.0
lockdown,0.0
lock,0.0
location,0.0
locate,0.0
local,0.0
loathsome,0.0
loathe,0.0
loan,0.0
limbo,0.0
likewise,0.0
mariana,0.0
lem,0.0
lesser,0.0
lessen,0.0
lentil,0.0
lenses,0.0
lens,0.0
lengthy,0.0
length,0.0
lend,0.0
lems,0.0
lemonade,0.0
lemon,0.0
leith,0.0
likely,0.0
leisurely,0.0
leisure,0.0
leipzig,0.0
legs,0.0
legitimately,0.0
legging,0.0
legally,0.0
legal,0.0
legacy,0.0
leg,0.0
leftover,0.0
lesson,0.0
let,0.0
lethal,0.0
lethargic,0.0
lightly,0.0
lighting,0.0
lighthearted,0.0
lighter,0.0
light,0.0
lifting,0.0
lift,0.0
lifetime,0.0
lifestyle,0.0
lie,0.0
lid,0.0
library,0.0
liberty,0.0
liberate,0.0
liberal,0.0
liar,0.0
liable,0.0
lewis,0.0
level,0.0
leukaemia,0.0
lettuce,0.0
letterbox,0.0
letter,0.0
loner,0.0
long,0.0
longer,0.0
maldives,0.0
management,0.0
manageable,0.0
manage,0.0
man,0.0
mambo,0.0
mam,0.0
malta,0.0
malt,0.0
mall,0.0
malfunction,0.0
male,0.0
malaysia,0.0
longs,0.0
malawi,0.0
making,0.0
makeup,0.0
maker,0.0
majorly,0.0
majority,0.0
major,0.0
maisonette,0.0
maintenance,0.0
maintain,0.0
mainly,0.0
manager,0.0
managing,0.0
manchester,0.0
mandarin,0.0
march,0.0
mar,0.0
maple,0.0
map,0.0
many,0.0
manufacture,0.0
manual,0.0
mantra,0.0
manner,0.0
mann,0.0
manisa,0.0
manipulate,0.0
manila,0.0
manifesting,0.0
manifestation,0.0
manifest,0.0
manic,0.0
mania,0.0
mango,0.0
manger,0.0
mange,0.0
mandatory,0.0
mandate,0.0
main,0.0
mailbox,0.0
mail,0.0
luckily,0.0
lower,0.0
loving,0.0
lovely,0.0
loved,0.0
love,0.0
loudly,0.0
loud,0.0
lottery,0.0
lotion,0.0
lot,0.0
lost,0.0
loss,0.0
losing,0.0
loser,0.0
lose,0.0
lord,0.0
looser,0.0
loose,0.0
loophole,0.0
loop,0.0
loom,0.0
lookup,0.0
loo,0.0
luck,0.0
lucky,0.0
maidstone,0.0
lucy,0.0
maid,0.0
magnify,0.0
magnet,0.0
magical,0.0
magazine,0.0
madness,0.0
mad,0.0
mackerel,0.0
machine,0.0
macdonald,0.0
macaroni,0.0
mabel,0.0
lyrical,0.0
luxury,0.0
luxuriously,0.0
lurker,0.0
lunge,0.0
lung,0.0
lunchtime,0.0
lunch,0.0
lump,0.0
lull,0.0
luddite,0.0
monotonous,0.0
monster,0.0
month,0.0
optimal,0.0
organ,0.0
oregano,0.0
ordinary,0.0
ordered,0.0
order,0.0
ordeal,0.0
orange,0.0
oracle,0.0
option,0.0
optimistic,0.0
optimise,0.0
opticians,0.0
open,0.0
opt,0.0
oppressive,0.0
opposite,0.0
opposed,0.0
oppose,0.0
opportunity,0.0
opinion,0.0
operator,0.0
operate,0.0
openness,0.0
openly,0.0
organic,0.0
organisation,0.0
organise,0.0
organization,0.0
outrageous,0.0
outrage,0.0
outpatient,0.0
outlook,0.0
outline,0.0
outlet,0.0
outfit,0.0
outer,0.0
outdoors,0.0
outdoor,0.0
outdated,0.0
outcome,0.0
outburst,0.0
outbreak,0.0
otherwise,0.0
others,0.0
osteopath,0.0
originally,0.0
original,0.0
origin,0.0
oriented,0.0
orient,0.0
organize,0.0
opening,0.0
ooh,0.0
monthly,0.0
occupation,0.0
offence,0.0
odyssey,0.0
odometer,0.0
odds,0.0
odd,0.0
october,0.0
ocean,0.0
occur,0.0
occupy,0.0
occupies,0.0
occupational,0.0
occasionally,0.0
onward,0.0
occasional,0.0
occasion,0.0
obviously,0.0
obvious,0.0
obtain,0.0
obsessively,0.0
obsessive,0.0
obsession,0.0
obsessed,0.0
obsess,0.0
observe,0.0
offensive,0.0
offer,0.0
office,0.0
officer,0.0
onto,0.0
ont,0.0
onslaught,0.0
online,0.0
onion,0.0
ongoing,0.0
one,0.0
oncology,0.0
omelette,0.0
olympic,0.0
olympiad,0.0
olives,0.0
olive,0.0
oligarchy,0.0
older,0.0
old,0.0
oil,0.0
ohio,0.0
oftentimes,0.0
often,0.0
offline,0.0
officially,0.0
official,0.0
outreach,0.0
outright,0.0
outside,0.0
panicked,0.0
paralysis,0.0
paralyse,0.0
parallel,0.0
parade,0.0
paracetamol,0.0
paprika,0.0
paperwork,0.0
paper,0.0
pantry,0.0
pant,0.0
panicky,0.0
panic,0.0
outsider,0.0
pang,0.0
panel,0.0
pancake,0.0
pan,0.0
pamela,0.0
palpable,0.0
palliative,0.0
pale,0.0
palace,0.0
pal,0.0
pakistani,0.0
paramedic,0.0
paranoia,0.0
paranoid,0.0
parcel,0.0
passer,0.0
passage,0.0
pas,0.0
party,0.0
partnership,0.0
partner,0.0
partly,0.0
particularly,0.0
particular,0.0
participation,0.0
participate,0.0
participant,0.0
partially,0.0
partial,0.0
part,0.0
parsley,0.0
parliament,0.0
parkinson,0.0
parking,0.0
park,0.0
rhythm,0.0
parental,0.0
parent,0.0
pair,0.0
painting,0.0
paint,0.0
overtake,0.0
overstate,0.0
oversized,0.0
overshadow,0.0
oversensitive,0.0
oversee,0.0
overseas,0.0
override,0.0
overreact,0.0
overpower,0.0
overnight,0.0
overly,0.0
overlook,0.0
overlaid,0.0
overhear,0.0
overground,0.0
overflow,0.0
overeat,0.0
overdraft,0.0
overdose,0.0
overcome,0.0
overbear,0.0
overall,0.0
oven,0.0
oversubscribed,0.0
overtime,0.0
painkiller,0.0
overweight,0.0
painful,0.0
pain,0.0
page,0.0
pad,0.0
packet,0.0
packed,0.0
package,0.0
pack,0.0
paced,0.0
pace,0.0
oyster,0.0
oxygen,0.0
oxbridge,0.0
ownership,0.0
owner,0.0
owe,0.0
overworking,0.0
overwork,0.0
overwhelms,0.0
overwhelmingly,0.0
overwhelming,0.0
overwhelmed,0.0
overwhelm,0.0
observation,0.0
obscure,0.0
oblivious,0.0
nan,0.0
natural,0.0
native,0.0
nationalist,0.0
national,0.0
nation,0.0
nasty,0.0
narrow,0.0
narrative,0.0
nappy,0.0
nap,0.0
nannie,0.0
name,0.0
neither,0.0
naked,0.0
naively,0.0
naive,0.0
nail,0.0
nag,0.0
mystic,0.0
mystery,0.0
mutual,0.0
mutter,0.0
mute,0.0
must,0.0
naturally,0.0
nature,0.0
nauseous,0.0
navigate,0.0
neighbour,0.0
negotiate,0.0
negligent,0.0
negligence,0.0
neglect,0.0
negativity,0.0
negatively,0.0
negative,0.0
needy,0.0
neediness,0.0
need,0.0
neck,0.0
necessity,0.0
necessary,0.0
necessarily,0.0
neatly,0.0
neat,0.0
nearly,0.0
nearer,0.0
nearby,0.0
near,0.0
neal,0.0
navy,0.0
mussel,0.0
muslim,0.0
musical,0.0
mourn,0.0
motivation,0.0
motivated,0.0
motivate,0.0
motion,0.0
mother,0.0
mot,0.0
mostly,0.0
moss,0.0
mortgage,0.0
mortality,0.0
morrison,0.0
morris,0.0
morning,0.0
moreover,0.0
morbidity,0.0
morava,0.0
moral,0.0
mop,0.0
moor,0.0
moon,0.0
moody,0.0
mood,0.0
mooch,0.0
mount,0.0
mouse,0.0
music,0.0
mouth,0.0
mushroom,0.0
museum,0.0
muscle,0.0
murder,0.0
mundane,0.0
munch,0.0
mumble,0.0
mum,0.0
multitude,0.0
multiply,0.0
multiplied,0.0
multiple,0.0
multiplayer,0.0
mug,0.0
muesli,0.0
muddy,0.0
mud,0.0
movie,0.0
movements,0.0
movement,0.0
moved,0.0
move,0.0
mouthwash,0.0
neighbourhood,0.0
nephew,0.0
oblivion,0.0
noticeable,0.0
novel,0.0
nov,0.0
nottinghamshire,0.0
nottingham,0.0
notorious,0.0
notion,0.0
notifying,0.0
notify,0.0
notification,0.0
noticed,0.0
noticeably,0.0
notice,0.0
nerdy,0.0
nothing,0.0
notebook,0.0
note,0.0
notably,0.0
nostalgic,0.0
nostalgia,0.0
nose,0.0
nos,0.0
norway,0.0
northern,0.0
north,0.0
novelty,0.0
november,0.0
nowadays,0.0
nowhere,0.0
obligate,0.0
objectively,0.0
objective,0.0
object,0.0
obesity,0.0
obese,0.0
oatmeal,0.0
oat,0.0
nutshell,0.0
nuts,0.0
nutcase,0.0
nut,0.0
nurture,0.0
nursing,0.0
nursery,0.0
nurse,0.0
numerous,0.0
numerical,0.0
numbness,0.0
number,0.0
numb,0.0
nuisance,0.0
nuclear,0.0
norman,0.0
normally,0.0
normality,0.0
nicely,0.0
next,0.0
newspaper,0.0
news,0.0
newness,0.0
newly,0.0
newfound,0.0
newark,0.0
new,0.0
nevertheless,0.0
never,0.0
neutralize,0.0
neuroscience,0.0
neural,0.0
network,0.0
netherlands,0.0
netflix,0.0
netball,0.0
net,0.0
nest,0.0
nervousness,0.0
nervous,0.0
nerve,0.0
nero,0.0
nice,0.0
nicole,0.0
normalcy,0.0
niece,0.0
normal,0.0
norm,0.0
noon,0.0
noodle,0.0
nonetheless,0.0
none,0.0
